subject_qid,subject_label,periodo_id,wikidata_pid,wikidata_pid_label,object_qid,object_label,canonical_relationship_type,mapping_note,source
Q300887,Aalenian,9qtgw2x4f,P17,country,Q29,Spain,LOCATED_IN,geo_authority_signal,wikidata
Q300887,Aalenian,9qtgw2x4f,P7153,significant place,Q986555,Fuentelsaz,LOCATED_IN,geo_authority_signal,wikidata
Q419594,Akkad period,7ffbf6hdp,P276,location,Q11767,Mesopotamia,LOCATED_IN,geo_authority_signal,wikidata
Q301728,Albian,9qtgw7bg4,P17,country,Q142,France,LOCATED_IN,geo_authority_signal,wikidata
Q791313,Bathonian,9qtgwcdrv,P17,country,Q142,France,LOCATED_IN,geo_authority_signal,wikidata
Q133610270,British Neolithic,kh9dshs59,P17,country,Q145,United Kingdom,LOCATED_IN,geo_authority_signal,wikidata
Q110209550,Early Dynastic IIIa,7ffbfx3sh,P276,location,Q11767,Mesopotamia,LOCATED_IN,geo_authority_signal,wikidata
Q110209565,Early Dynastic IIIb,7ffbfjtm2,P276,location,Q11767,Mesopotamia,LOCATED_IN,geo_authority_signal,wikidata
Q633834,Hettangian,9qtgwrf75,P7153,significant place,Q21881790,Kuhjoch,LOCATED_IN,geo_authority_signal,wikidata
Q540479,Pliensbachian,9qtgw3hf7,P7153,significant place,Q24658757,Robin Hood's Bay,LOCATED_IN,geo_authority_signal,wikidata
Q1196237,Proto-Elamite period,7ffbfn97j,P17,country,Q794,Iran,LOCATED_IN,geo_authority_signal,wikidata
Q1196237,Proto-Elamite period,7ffbfn97j,P276,location,Q128904,Elam,LOCATED_IN,geo_authority_signal,wikidata
Q911869,Sinemurian,9qtgwgbxh,P7153,significant place,Q2411043,East Quantoxhead,LOCATED_IN,geo_authority_signal,wikidata
Q914363,Toarcian,9qtgww5hb,P7153,significant place,Q941967,Peniche,LOCATED_IN,geo_authority_signal,wikidata
