qid,label,periodo_id
Q696251,occupation of Japan,6c6g3krdq
Q707364,Count's Feud,6c6g339fj
Q7403398,Saladin in Egypt,6c6g37thw
Q776775,Keiō,8m57hk9w6
Q791313,Bathonian,9qtgwcdrv
Q843329,Valanginian,9qtgwdxkh
Q911869,Sinemurian,9qtgwgbxh
Q914363,Toarcian,9qtgww5hb
Q917293,Late Triassic,9qtgw6h9p
Q94080,Time of Troubles,6c6g383b7
Q952881,Second French intervention in Mexico,6c6g34nfc
Q161205,Safavid dynasty,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",6c6g35q9w
Q8690,Cultural Revolution,6c6g3bsbt
Q191324,Middle Kingdom of Egypt,6c6g3fz6m
Q1044536,Spain under the Restoration,6c6g3gks2
Q8663,Korean War,6c6g3gspp
Q731470,Eoarchean,9qtgwckcw
Q752187,Early Cretaceous,9qtgwjphz
Q44626,Cretaceous,9qtgwjxcm
Q182688,Victorian era,kh9dsxp46
Q42005,Black Death,pgmrbmd5t
Q1054850,Bactria–Margiana Archaeological Complex,8m57hq9gh
Q1076902,Chremonidean War,6c6g382rh
Q1080207,Norian,9qtgwnfdx
Q109384761,Ur III period,7ffbfhfkn
Q110209565,Early Dynastic IIIb,7ffbfjtm2
Q110209550,Early Dynastic IIIa,7ffbfx3sh
Q111657246,Q111657246,vn2fr68nx
Q111656626,Q111656626,vn2frbvn2
Q111657385,Q111657385,vn2frdpb3
Q111657374,Q111657374,vn2frrq4x
Q111657361,Q111657361,vn2frrx4q
Q111656882,Q111656882,vn2frzrfs
Q1135852,Guangxu Era,8m57hg5gw
Q114877803,Uruk III Period,7ffbf3bb5
Q114868885,Linear Elamite Period,7ffbf44sn
Q114877817,Uruk V Period,7ffbf4k4d
Q114869008,Middle Hittite Period,7ffbf8qk6
Q114868851,Lagash II Period,7ffbf9qf7
Q114867907,Ebla Period,7ffbfh6rb
Q114868919,Middle Assyrian Period,7ffbfnbsj
Q114869307,Neo Babylonian Period,7ffbfqvg7
Q114867465,Early Old Babylonian Period,7ffbftf7p
Q114877809,Uruk IV Period,7ffbfz8rq
Q114869081,Neo Assyrian Period,7ffbfzf7k
Q114867307,Achaemenid Period,83p5r9rs7
Q1196237,Proto-Elamite period,7ffbfn97j
Q12056948,Middle Minoan,8m57h4g7x
Q12056948,Middle Minoan,ds9qjm95d
Q12056948,Middle Minoan,qp9rs2xrr
Q123437424,Mithraeum I,mx5nbjmkh
Q123438122,"Arsacid Period, Dura-Europos (Syria)",ns3tk6npz
Q123437479,"Roman Period, Dura-Europos (Syria)",ns3tkfskp
Q123437228,Early Mithraeum,pkpgkvf9d
Q123910977,Mithraeum II,mx5nb56sq
Q123915981,"Final Phase, Mithraeum",mx5nb7krq
Q123917199,"Phase A, Mithraeum",mx5nbc4kr
Q123918334,"Phase B, Mithraeum",mx5nbxk28
Q123909218,Middle Mithraeum,pkpgk57tt
Q123911600,Late Mithraeum,pkpgkwxn7
Q124355469,"Hellenistic Period, Dura-Europos (Syria)",ns3tk5mn7
Q124413129,Pre-mithraeum building(s),mx5nb2bqh
Q12554,Middle Ages,8m57h8zmq
Q12554,Middle Ages,vn2frpf43
Q127751,Wars of the Roses,6c6g3crgz
Q131987978,Romano-British period,kh9ds9nsj
Q1325419,Genji,8m57h7cc2
Q133610270,British Neolithic,kh9dshs59
Q139670,First Republic of Armenia,6c6g3nxxw
Q1471568,Old Babylonian Period,7ffbfw885
Q15224558,Euromaidan,6c6g3bc6j
Q15782728,Old-Assyrian period,7ffbfm56z
Q16530848,Middle Babylonian period,7ffbfch4f
Q18534333,Sarmatian culture,6v8w4pndh
Q1952344,Missouri in the American Civil War,6c6g3td2q
Q204023,Sengoku period,6c6g3cq26
Q208297,Irish War of Independence,6c6g3xtnj
Q209297,Farroupilha Revolution,6c6g3bpt7
Q239060,Arab Revolt,6c6g32wkw
Q245831,Cyprus problem,6c6g3576d
Q25546,Pleistocene,p086kj94tsm
Q277399,British Iron Age,kh9dsj33x
Q284787,Early Jurassic,9qtgw32q7
Q29297151,Middle Elamite period,7ffbfknpj
Q29297050,Neo-Elamite period,7ffbfx45f
Q300887,Aalenian,9qtgw2x4f
Q301728,Albian,9qtgw7bg4
Q3125096,Meiji period,8m57hsw5p
Q338199,Late Cretaceous,9qtgwdffp
Q3641960,Bombing of Rome in World War II,6c6g3pmfn
Q4096987,British Bronze Age,kh9ds7q8m
Q419594,Akkad period,7ffbf6hdp
Q428995,Hellenistic period,7ffbfhnns
Q45805,Jurassic,9qtgwqzkr
Q476855,Mau Mau Uprising,06c6g3nkk
Q478301,Hussite Wars,6c6g3vnns
Q486761,classical antiquity,8m57hmxmp
Q499312,Late Jurassic,9qtgwc56b
Q500054,Middle Jurassic,9qtgwhqph
Q530828,Rhaetian,9qtgwkwhr
Q540479,Pliensbachian,9qtgw3hf7
Q622265,Aptian,9qtgw8qq8
Q623429,Reconstruction Era,6c6g3m8jh
Q633834,Hettangian,9qtgwrf75
Q638530,Texas Revolution,6c6g3fdwd
Q643488,Thirty Tyrants,6c6g3jkgs
Q6500483,Nguyen dynasty,8m57hc5zd
Q663355,Berriasian,9qtgwk2jt
Q677316,Social War of 91-87 BCE,6c6g3rjxq
Q689128,Haitian Revolution,6c6g3xsmz
