qid,label,periodo_id,start,end
Q300887,Aalenian,9qtgw2x4f,-174100000-01-01T00:00:00Z,-170300000-01-01T00:00:00Z
Q419594,Akkad period,7ffbf6hdp,-2349-01-01T00:00:00Z,-2199-01-01T00:00:00Z
Q301728,Albian,9qtgw7bg4,-113000000-01-01T00:00:00Z,-100500000-01-01T00:00:00Z
Q622265,Aptian,9qtgw8qq8,-125000000-01-01T00:00:00Z,-113000000-01-01T00:00:00Z
Q791313,Bathonian,9qtgwcdrv,-168300000-01-01T00:00:00Z,-166100000-01-01T00:00:00Z
Q663355,Berriasian,9qtgwk2jt,-145000000-01-01T00:00:00Z,-139800000-01-01T00:00:00Z
Q133610270,British Neolithic,kh9dshs59,-3999-01-01T00:00:00Z,-2199-01-01T00:00:00Z
Q44626,Cretaceous,9qtgwjxcm,-145000000-01-01T00:00:00Z,-66000000-01-01T00:00:00Z
Q752187,Early Cretaceous,9qtgwjphz,-145000000-01-01T00:00:00Z,-100500000-01-01T00:00:00Z
Q110209550,Early Dynastic IIIa,7ffbfx3sh,-2599-01-01T00:00:00Z,-2499-01-01T00:00:00Z
Q110209565,Early Dynastic IIIb,7ffbfjtm2,-2499-01-01T00:00:00Z,-2339-01-01T00:00:00Z
Q284787,Early Jurassic,9qtgw32q7,-201300000-01-01T00:00:00Z,-174100000-01-01T00:00:00Z
Q114867907,Ebla Period,7ffbfh6rb,-2299-01-01T00:00:00Z,-2249-01-01T00:00:00Z
Q731470,Eoarchean,9qtgwckcw,-4031000000-01-01T00:00:00Z,-3600000000-01-01T00:00:00Z
Q633834,Hettangian,9qtgwrf75,-201300000-01-01T00:00:00Z,-199300000-01-01T00:00:00Z
Q45805,Jurassic,9qtgwqzkr,-201400000-01-01T00:00:00Z,-145000000-01-01T00:00:00Z
Q114868851,Lagash II Period,7ffbf9qf7,-2199-01-01T00:00:00Z,-2099-01-01T00:00:00Z
Q338199,Late Cretaceous,9qtgwdffp,-100500000-01-01T00:00:00Z,-66000000-01-01T00:00:00Z
Q499312,Late Jurassic,9qtgwc56b,-163500000-01-01T00:00:00Z,-145000000-01-01T00:00:00Z
Q917293,Late Triassic,9qtgw6h9p,-237000000-01-01T00:00:00Z,-201300000-01-01T00:00:00Z
Q500054,Middle Jurassic,9qtgwhqph,-174100000-01-01T00:00:00Z,-163500000-01-01T00:00:00Z
Q1080207,Norian,9qtgwnfdx,-227000000-01-01T00:00:00Z,-208500000-01-01T00:00:00Z
Q25546,Pleistocene,p086kj94tsm,-2580000-01-01T00:00:00Z,-9700-01-01T00:00:00Z
Q540479,Pliensbachian,9qtgw3hf7,-190800000-01-01T00:00:00Z,-182700000-01-01T00:00:00Z
Q1196237,Proto-Elamite period,7ffbfn97j,-3099-01-01T00:00:00Z,-2699-01-01T00:00:00Z
Q530828,Rhaetian,9qtgwkwhr,-208500000-01-01T00:00:00Z,-201300000-01-01T00:00:00Z
Q911869,Sinemurian,9qtgwgbxh,-199300000-01-01T00:00:00Z,-190800000-01-01T00:00:00Z
Q914363,Toarcian,9qtgww5hb,-182700000-01-01T00:00:00Z,-174100000-01-01T00:00:00Z
Q114877803,Uruk III Period,7ffbf3bb5,-3199-01-01T00:00:00Z,-2999-01-01T00:00:00Z
Q114877809,Uruk IV Period,7ffbfz8rq,-3349-01-01T00:00:00Z,-3199-01-01T00:00:00Z
Q114877817,Uruk V Period,7ffbf4k4d,-3499-01-01T00:00:00Z,-3349-01-01T00:00:00Z
Q843329,Valanginian,9qtgwdxkh,-139800000-01-01T00:00:00Z,-132900000-01-01T00:00:00Z
