item,qid,p244,p2163,p1149,p1036
http://www.wikidata.org/entity/Q104867898,Q104867898,,,,
http://www.wikidata.org/entity/Q105427,Q105427,,,,
http://www.wikidata.org/entity/Q11019,Q11019,sh85079362,,,621.8
http://www.wikidata.org/entity/Q11469,Q11469,sh85055102,,,748
http://www.wikidata.org/entity/Q11469,Q11469,sh85055102,,,620.144
http://www.wikidata.org/entity/Q11469,Q11469,sh85055102,,,624.1838
http://www.wikidata.org/entity/Q11469,Q11469,sh85055102,,,666.1
http://www.wikidata.org/entity/Q11469,Q11469,sh85055102,,,691.6
http://www.wikidata.org/entity/Q1200427,Q1200427,,,,
http://www.wikidata.org/entity/Q1234567,Q1234567,,,,
http://www.wikidata.org/entity/Q1243998,Q1243998,,,,
http://www.wikidata.org/entity/Q131416,Q131416,n88249472,,,
http://www.wikidata.org/entity/Q1363254,Q1363254,no2004019345,1988932,,
http://www.wikidata.org/entity/Q1367629,Q1367629,,,,
http://www.wikidata.org/entity/Q1392538,Q1392538,,,,
http://www.wikidata.org/entity/Q15265460,Q15265460,,,,
http://www.wikidata.org/entity/Q1541,Q1541,n79032166,32861,DG260.C5-59,
http://www.wikidata.org/entity/Q1541,Q1541,n79032166,32861,PA6278-PA6370,
http://www.wikidata.org/entity/Q15800869,Q15800869,,,,
http://www.wikidata.org/entity/Q1593880,Q1593880,,,,
http://www.wikidata.org/entity/Q17167,Q17167,sh85115114,,,
http://www.wikidata.org/entity/Q172845,Q172845,n00100684,453029,,
http://www.wikidata.org/entity/Q1747183,Q1747183,,,,
http://www.wikidata.org/entity/Q1764124,Q1764124,,,,
http://www.wikidata.org/entity/Q1812526,Q1812526,,,,
http://www.wikidata.org/entity/Q182547,Q182547,sh85115186,,,
http://www.wikidata.org/entity/Q185816,Q185816,,,,169
http://www.wikidata.org/entity/Q186916,Q186916,,,,
http://www.wikidata.org/entity/Q1887031,Q1887031,,,,
http://www.wikidata.org/entity/Q1944199,Q1944199,,,,
http://www.wikidata.org/entity/Q19895241,Q19895241,,,,
http://www.wikidata.org/entity/Q1993655,Q1993655,,,,
http://www.wikidata.org/entity/Q201452,Q201452,no2007038980,1971479,,
http://www.wikidata.org/entity/Q2063299,Q2063299,,,,
http://www.wikidata.org/entity/Q2065169,Q2065169,,,,
http://www.wikidata.org/entity/Q2067204,Q2067204,n88098018,,,
http://www.wikidata.org/entity/Q20720797,Q20720797,,,,
http://www.wikidata.org/entity/Q207544,Q207544,n80110912,59974,,
http://www.wikidata.org/entity/Q211364,Q211364,sh85106732,,,
http://www.wikidata.org/entity/Q212943,Q212943,,,,
http://www.wikidata.org/entity/Q213810,Q213810,sh85026207,,JC85.C5,
http://www.wikidata.org/entity/Q2277,Q2277,,,,
http://www.wikidata.org/entity/Q2345364,Q2345364,,,,
http://www.wikidata.org/entity/Q236885,Q236885,,,,
http://www.wikidata.org/entity/Q2576746,Q2576746,,,,
http://www.wikidata.org/entity/Q271108,Q271108,,,,
http://www.wikidata.org/entity/Q2815472,Q2815472,,,,
http://www.wikidata.org/entity/Q2817119,Q2817119,,,,
http://www.wikidata.org/entity/Q2862991,Q2862991,,,,
http://www.wikidata.org/entity/Q2916317,Q2916317,,,,
http://www.wikidata.org/entity/Q3277005,Q3277005,,,,
http://www.wikidata.org/entity/Q337547,Q337547,sh96009771,,,292
http://www.wikidata.org/entity/Q3932035,Q3932035,,,,
http://www.wikidata.org/entity/Q39686,Q39686,no2001089698,,,
http://www.wikidata.org/entity/Q4119583,Q4119583,,,,
http://www.wikidata.org/entity/Q46303,Q46303,sh85137116,,,
http://www.wikidata.org/entity/Q6106068,Q6106068,,,,
http://www.wikidata.org/entity/Q657326,Q657326,sh85044942,,,
http://www.wikidata.org/entity/Q7188,Q7188,sh00005941,,,321
http://www.wikidata.org/entity/Q726929,Q726929,sh85006925,924254,,
http://www.wikidata.org/entity/Q838930,Q838930,,,,
http://www.wikidata.org/entity/Q8464,Q8464,,,,
http://www.wikidata.org/entity/Q859980,Q859980,,,,
http://www.wikidata.org/entity/Q899409,Q899409,,,,
http://www.wikidata.org/entity/Q9070,Q9070,,,,
http://www.wikidata.org/entity/Q952064,Q952064,sh85027857,,,
